Store,assigned_land
1,HE
2,TH
3,NW
4,BE/BB
5,SN
6,SN
7,SH/MV
8,SH/MV
9,NW
10,HB/NI
11,SH/MV
12,SH/MV
13,BY
14,NW
15,SH/MV
16,BW
17,TH
18,TH
19,NW
20,BY
21,BW
22,BY
23,RP
24,NW
25,NW
26,TH
27,NW
28,ST
29,NW
30,NW
31,SH/MV
32,BY
33,NW
34,BE/BB
35,NW
36,BY
37,ST
38,NW
39,NW
40,NW
41,BY
42,NW
43,NW
44,BE/BB
45,RP
46,BY
47,HH
48,HH
49,BW
50,RP
51,BY
52,BY
53,SH/MV
54,ST
55,SN
56,HE
57,SN
58,BY
59,TH
60,SN
61,BW
62,NW
63,SH/MV
64,NW
65,ST
66,BW
67,BW
68,SH/MV
69,HE
70,HB/NI
71,NW
72,BY
73,SH/MV
74,NW
75,SH/MV
76,BY
77,HE
78,ST
79,BW
80,RP
81,BY
82,NW
83,NW
84,NW
85,BE/BB
86,NW
87,BE/BB
88,ST
89,BY
90,NW
91,BW
92,NW
93,NW
94,NW
95,SN
96,SN
97,SN
98,NW
99,BY
100,BY
101,SH/MV
102,NW
103,BE/BB
104,BE/BB
105,BW
106,BE/BB
107,HB/NI
108,BY
109,SH/MV
110,SH/MV
111,HE
112,HB/NI
113,BY
114,TH
115,BY
116,BE/BB
117,NW
118,SH/MV
119,SH/MV
120,HE
121,SN
122,SH/MV
123,ST
124,NW
125,BE/BB
126,NW
127,BY
128,HE
129,BY
130,HE
131,NW
132,BY
133,TH
134,BE/BB
135,HE
136,BY
137,BY
138,SN
139,BY
140,HE
141,BW
142,NW
143,RP
144,BY
145,BY
146,NW
147,NW
148,BE/BB
149,BY
150,SH/MV
151,ST
152,NW
153,NW
154,HE
155,BY
156,TH
157,NW
158,RP
159,BY
160,HE
161,NW
162,HE
163,BE/BB
164,BY
165,BY
166,NW
167,ST
168,BW
169,NW
170,NW
171,NW
172,BY
173,BE/BB
174,BY
175,HH
176,NW
177,ST
178,SN
179,NW
180,HH
181,BY
182,HE
183,BY
184,NW
185,BE/BB
186,BY
187,SH/MV
188,RP
189,RP
190,BY
191,BY
192,BY
193,BW
194,BW
195,NW
196,TH
197,HH
198,TH
199,RP
200,NW
201,NW
202,HE
203,ST
204,BY
205,BE/BB
206,NW
207,SH/MV
208,BE/BB
209,SH/MV
210,RP
211,BE/BB
212,SH/MV
213,NW
214,NW
215,BY
216,NW
217,HH
218,BY
219,NW
220,NW
221,SH/MV
222,BE/BB
223,TH
224,BW
225,ST
226,HE
227,NW
228,NW
229,RP
230,SH/MV
231,BY
232,ST
233,HE
234,NW
235,HE
236,BE/BB
237,BE/BB
238,NW
239,NW
240,BE/BB
241,NW
242,HE
243,BY
244,NW
245,HE
246,HH
247,HE
248,SH/MV
249,SH/MV
250,HE
251,NW
252,NW
253,NW
254,RP
255,NW
256,NW
257,BE/BB
258,BY
259,HE
260,BE/BB
261,TH
262,HH
263,BY
264,BE/BB
265,RP
266,SN
267,SH/MV
268,HB/NI
269,NW
270,BE/BB
271,SN
272,HE
273,NW
274,HE
275,BY
276,SN
277,BY
278,SH/MV
279,BY
280,BW
281,SH/MV
282,BE/BB
283,BY
284,BY
285,HE
286,TH
287,BY
288,BY
289,HE
290,NW
291,SN
292,BE/BB
293,BE/BB
294,HE
295,BW
296,HE
297,BW
298,BY
299,SH/MV
300,HE
301,SH/MV
302,HE
303,NW
304,HB/NI
305,HE
306,BY
307,TH
308,NW
309,NW
310,SH/MV
311,HE
312,HE
313,TH
314,NW
315,SH/MV
316,NW
317,BY
318,SN
319,SH/MV
320,SH/MV
321,SN
322,TH
323,RP
324,ST
325,NW
326,RP
327,ST
328,NW
329,NW
330,NW
331,RP
332,ST
333,HH
334,NW
335,NW
336,HE
337,HE
338,HE
339,RP
340,SH/MV
341,NW
342,BY
343,NW
344,HH
345,BY
346,NW
347,BW
348,BY
349,BE/BB
350,HE
351,NW
352,SH/MV
353,BW
354,NW
355,SH/MV
356,BW
357,SN
358,NW
359,RP
360,BE/BB
361,ST
362,HE
363,BE/BB
364,RP
365,BY
366,ST
367,SH/MV
368,BW
369,HE
370,NW
371,HE
372,NW
373,BW
374,BE/BB
375,ST
376,BE/BB
377,SH/MV
378,NW
379,HB/NI
380,NW
381,ST
382,ST
383,HE
384,TH
385,BY
386,NW
387,NW
388,NW
389,HH
390,BE/BB
391,NW
392,NW
393,NW
394,HE
395,NW
396,ST
397,NW
398,SH/MV
399,BY
400,TH
401,SN
402,ST
403,NW
404,BW
405,NW
406,RP
407,BY
408,BW
409,HE
410,NW
411,HE
412,BY
413,BY
414,HE
415,RP
416,HH
417,NW
418,NW
419,BE/BB
420,BY
421,SH/MV
422,SH/MV
423,BE/BB
424,NW
425,NW
426,NW
427,BY
428,BY
429,BY
430,BY
431,NW
432,HH
433,SH/MV
434,BY
435,NW
436,SN
437,SN
438,SN
439,BE/BB
440,BW
441,NW
442,BW
443,SN
444,SN
445,NW
446,NW
447,SH/MV
448,NW
449,HE
450,BW
451,HE
452,SH/MV
453,SH/MV
454,ST
455,BW
456,NW
457,BY
458,HE
459,SH/MV
460,ST
461,BW
462,ST
463,NW
464,BE/BB
465,HE
466,NW
467,NW
468,SH/MV
469,BE/BB
470,NW
471,BY
472,HH
473,NW
474,TH
475,NW
476,SN
477,BY
478,BE/BB
479,ST
480,BE/BB
481,HE
482,ST
483,ST
484,SH/MV
485,BY
486,NW
487,SH/MV
488,SH/MV
489,ST
490,BY
491,BW
492,BY
493,NW
494,BE/BB
495,BW
496,BE/BB
497,HE
498,BY
499,BW
500,BY
501,BY
502,HE
503,ST
504,HB/NI
505,BW
506,NW
507,NW
508,NW
509,HE
510,NW
511,HB/NI
512,BY
513,BE/BB
514,BY
515,NW
516,NW
517,HE
518,BY
519,SH/MV
520,SH/MV
521,RP
522,BY
523,BE/BB
524,SH/MV
525,BE/BB
526,TH
527,NW
528,NW
529,SH/MV
530,SH/MV
531,HH
532,NW
533,BW
534,BY
535,NW
536,NW
537,BW
538,SH/MV
539,BY
540,BY
541,NW
542,BY
543,HE
544,SN
545,NW
546,BE/BB
547,BY
548,HE
549,HH
550,HE
551,SH/MV
552,HE
553,BW
554,HH
555,BY
556,BE/BB
557,NW
558,HH
559,ST
560,BE/BB
561,NW
562,HB/NI
563,NW
564,NW
565,NW
566,HH
567,NW
568,HE
569,BE/BB
570,NW
571,BY
572,NW
573,BY
574,BW
575,BY
576,BE/BB
577,SH/MV
578,SH/MV
579,NW
580,SH/MV
581,RP
582,HE
583,ST
584,HE
585,SH/MV
586,NW
587,BY
588,SH/MV
589,HE
590,BW
591,BW
592,NW
593,SH/MV
594,BE/BB
595,BE/BB
596,BE/BB
597,RP
598,BY
599,BE/BB
600,SH/MV
601,HE
602,HE
603,BW
604,BY
605,BW
606,BE/BB
607,TH
608,ST
609,BE/BB
610,NW
611,BY
612,BY
613,TH
614,SN
615,HE
616,NW
617,SN
618,HE
619,BY
620,BY
621,NW
622,SH/MV
623,NW
624,NW
625,NW
626,SN
627,HE
628,HB/NI
629,BY
630,TH
631,SH/MV
632,HH
633,BY
634,SN
635,ST
636,BY
637,BY
638,BY
639,NW
640,NW
641,NW
642,NW
643,SH/MV
644,BY
645,BW
646,BY
647,SH/MV
648,BE/BB
649,ST
650,BY
651,NW
652,TH
653,NW
654,SN
655,NW
656,HE
657,NW
658,NW
659,HE
660,BY
661,HE
662,HB/NI
663,BW
664,ST
665,HE
666,BW
667,SH/MV
668,BE/BB
669,BY
670,BY
671,BY
672,SN
673,BW
674,NW
675,NW
676,HE
677,BY
678,NW
679,BE/BB
680,SH/MV
681,RP
682,BE/BB
683,BE/BB
684,BY
685,NW
686,SN
687,NW
688,ST
689,HE
690,NW
691,NW
692,NW
693,HE
694,BY
695,NW
696,HH
697,NW
698,BE/BB
699,HE
700,HE
701,BY
702,BY
703,NW
704,BE/BB
705,NW
706,BY
707,NW
708,SN
709,BE/BB
710,BY
711,BY
712,BY
713,NW
714,BW
715,ST
716,BY
717,NW
718,HE
719,BY
720,SH/MV
721,SH/MV
722,HB/NI
723,HE
724,NW
725,SH/MV
726,SN
727,HE
728,BW
729,NW
730,BE/BB
731,NW
732,SH/MV
733,NW
734,NW
735,ST
736,BY
737,NW
738,NW
739,BY
740,HE
741,HB/NI
742,NW
743,SN
744,BY
745,SN
746,HE
747,ST
748,NW
749,RP
750,BY
751,NW
752,NW
753,NW
754,TH
755,TH
756,NW
757,BW
758,BW
759,NW
760,BE/BB
761,BE/BB
762,BW
763,SH/MV
764,RP
765,BW
766,BY
767,SH/MV
768,SH/MV
769,NW
770,NW
771,BY
772,HH
773,HE
774,SH/MV
775,BY
776,NW
777,BW
778,BY
779,SN
780,SN
781,ST
782,RP
783,TH
784,NW
785,NW
786,ST
787,SN
788,BE/BB
789,BW
790,HE
791,NW
792,NW
793,NW
794,SN
795,NW
796,NW
797,BY
798,SN
799,NW
800,RP
801,SH/MV
802,SH/MV
803,HE
804,BY
805,BY
806,BY
807,HE
808,SN
809,NW
810,RP
811,SH/MV
812,SN
813,BW
814,TH
815,BY
816,NW
817,BE/BB
818,HE
819,SH/MV
820,BY
821,BE/BB
822,SH/MV
823,SH/MV
824,SH/MV
825,BY
826,NW
827,BE/BB
828,ST
829,HE
830,SN
831,NW
832,HE
833,RP
834,BE/BB
835,NW
836,SN
837,HE
838,TH
839,BE/BB
840,HB/NI
841,SN
842,BY
843,BE/BB
844,NW
845,NW
846,NW
847,NW
848,BW
849,HB/NI
850,NW
851,BY
852,HE
853,BW
854,SN
855,BW
856,HH
857,HE
858,BY
859,BY
860,HH
861,RP
862,SH/MV
863,SH/MV
864,BW
865,NW
866,HE
867,SH/MV
868,HE
869,SN
870,BE/BB
871,HE
872,NW
873,SN
874,HB/NI
875,RP
876,ST
877,SH/MV
878,ST
879,BY
880,BW
881,NW
882,NW
883,NW
884,BY
885,NW
886,NW
887,HE
888,SH/MV
889,ST
890,BY
891,NW
892,SN
893,BY
894,NW
895,BW
896,SH/MV
897,RP
898,TH
899,SN
900,BY
901,SH/MV
902,BY
903,BY
904,BY
905,NW
906,HE
907,NW
908,HE
909,BY
910,ST
911,SH/MV
912,SH/MV
913,RP
914,SH/MV
915,BY
916,NW
917,NW
918,SN
919,BY
920,BY
921,SN
922,NW
923,BE/BB
924,NW
925,BW
926,NW
927,NW
928,NW
929,SH/MV
930,NW
931,SH/MV
932,BY
933,SN
934,NW
935,SH/MV
936,NW
937,HE
938,HB/NI
939,NW
940,SN
941,BY
942,HE
943,NW
944,HB/NI
945,SH/MV
946,RP
947,BW
948,BW
949,BE/BB
950,BW
951,NW
952,BY
953,TH
954,NW
955,NW
956,NW
957,BE/BB
958,BE/BB
959,BE/BB
960,HE
961,NW
962,NW
963,SN
964,BW
965,HE
966,NW
967,NW
968,SN
969,BW
970,HE
971,TH
972,ST
973,NW
974,BY
975,NW
976,NW
977,BY
978,SN
979,TH
980,NW
981,ST
982,SN
983,NW
984,NW
985,BW
986,NW
987,BE/BB
988,SH/MV
989,BY
990,SN
991,NW
992,NW
993,SN
994,NW
995,SN
996,SN
997,HE
998,BW
999,SN
1000,BY
1001,TH
1002,BE/BB
1003,NW
1004,BY
1005,NW
1006,ST
1007,SH/MV
1008,HH
1009,BY
1010,SH/MV
1011,NW
1012,BY
1013,NW
1014,NW
1015,RP
1016,NW
1017,SN
1018,BE/BB
1019,BY
1020,HE
1021,BE/BB
1022,NW
1023,SN
1024,SH/MV
1025,RP
1026,NW
1027,BY
1028,NW
1029,ST
1030,ST
1031,NW
1032,ST
1033,BE/BB
1034,SN
1035,SN
1036,NW
1037,NW
1038,BY
1039,NW
1040,NW
1041,BY
1042,NW
1043,ST
1044,BW
1045,SH/MV
1046,ST
1047,NW
1048,SH/MV
1049,BY
1050,HE
1051,BW
1052,NW
1053,HB/NI
1054,SH/MV
1055,BE/BB
1056,BY
1057,SH/MV
1058,NW
1059,HH
1060,NW
1061,BW
1062,RP
1063,HH
1064,NW
1065,BY
1066,NW
1067,BY
1068,BW
1069,TH
1070,HB/NI
1071,SH/MV
1072,NW
1073,NW
1074,SN
1075,BE/BB
1076,NW
1077,NW
1078,BW
1079,HE
1080,BY
1081,BE/BB
1082,SN
1083,HE
1084,HE
1085,BE/BB
1086,HE
1087,HB/NI
1088,NW
1089,NW
1090,SN
1091,SH/MV
1092,BY
1093,SN
1094,BY
1095,TH
1096,NW
1097,RP
1098,SN
1099,SH/MV
1100,NW
1101,SH/MV
1102,BY
1103,HE
1104,BY
1105,NW
1106,SH/MV
1107,BY
1108,SN
1109,BY
1110,BE/BB
1111,NW
1112,NW
1113,SH/MV
1114,HH
1115,HE
